t_s,C2,C4
0.000000e+00,-7.462586e-01,-8.266940e-01
4.000000e-09,1.792277e+00,1.734421e+00
8.000000e-09,-7.174188e-01,-6.953811e-01
1.200000e-08,-1.038936e+00,-1.107582e+00
1.600000e-08,1.640535e+00,1.568359e+00
2.000000e-08,-2.293888e-01,-2.073135e-01
2.400000e-08,-1.382961e+00,-1.439209e+00
2.800000e-08,1.538592e+00,1.467946e+00
3.200000e-08,1.087007e-01,1.240596e-01
3.600000e-08,-1.579325e+00,-1.622258e+00
4.000000e-08,1.321828e+00,1.238865e+00
4.400000e-08,5.244875e-01,5.324909e-01
4.800000e-08,-1.660131e+00,-1.687937e+00
5.200000e-08,9.779497e-01,8.881170e-01
5.600000e-08,9.427035e-01,9.446391e-01
6.000000e-08,-1.669820e+00,-1.685551e+00
6.400000e-08,5.776146e-01,4.822196e-01
6.800000e-08,1.284176e+00,1.271998e+00
7.200000e-08,-1.585951e+00,-1.585292e+00
7.600000e-08,1.394478e-01,4.811595e-02
8.000000e-08,1.507732e+00,1.477964e+00
8.400000e-08,-1.389636e+00,-1.380333e+00
8.800000e-08,-2.741513e-01,-3.608036e-01
9.200000e-08,1.695093e+00,1.653801e+00
9.600000e-08,-1.077743e+00,-1.062089e+00
1.000000e-07,-7.173322e-01,-7.972880e-01
1.040000e-07,1.747183e+00,1.694984e+00
1.080000e-07,-6.977674e-01,-6.787970e-01
1.120000e-07,-1.058279e+00,-1.126594e+00
1.160000e-07,1.710289e+00,1.645000e+00
1.200000e-07,-3.194073e-01,-3.028060e-01
1.240000e-07,-1.341904e+00,-1.399516e+00
1.280000e-07,1.563180e+00,1.486428e+00
1.320000e-07,8.334058e-02,1.034737e-01
1.360000e-07,-1.562390e+00,-1.599000e+00
1.400000e-07,1.325390e+00,1.236778e+00
1.440000e-07,5.447261e-01,5.543475e-01
1.480000e-07,-1.675084e+00,-1.697012e+00
1.520000e-07,9.606077e-01,8.661567e-01
1.560000e-07,9.198953e-01,9.169248e-01
1.600000e-07,-1.692925e+00,-1.700023e+00
1.640000e-07,5.610590e-01,4.725419e-01
1.680000e-07,1.297086e+00,1.281091e+00
1.720000e-07,-1.569055e+00,-1.571148e+00
1.760000e-07,8.705392e-02,-6.797617e-03
1.800000e-07,1.542772e+00,1.509215e+00
1.840000e-07,-1.348863e+00,-1.339255e+00
1.880000e-07,-3.351318e-01,-4.223022e-01
1.920000e-07,1.721938e+00,1.675980e+00
1.960000e-07,-1.034367e+00,-1.022255e+00
2.000000e-07,-7.091157e-01,-7.883656e-01
2.040000e-07,1.746004e+00,1.693896e+00
2.080000e-07,-7.111506e-01,-6.963084e-01
2.120000e-07,-1.024809e+00,-1.096544e+00
2.160000e-07,1.711600e+00,1.643708e+00
2.200000e-07,-3.151003e-01,-2.954111e-01
2.240000e-07,-1.378247e+00,-1.430769e+00
2.280000e-07,1.528692e+00,1.444879e+00
2.320000e-07,1.889953e-01,1.984204e-01
2.360000e-07,-1.598179e+00,-1.639528e+00
2.400000e-07,1.225333e+00,1.136882e+00
2.440000e-07,6.195792e-01,6.251872e-01
2.480000e-07,-1.698878e+00,-1.727420e+00
2.520000e-07,8.917527e-01,7.944953e-01
2.560000e-07,1.024436e+00,1.019202e+00
2.600000e-07,-1.660168e+00,-1.671590e+00
2.640000e-07,4.993175e-01,4.021439e-01
2.680000e-07,1.313208e+00,1.295748e+00
2.720000e-07,-1.557804e+00,-1.557293e+00
2.760000e-07,7.528957e-02,-1.703451e-02
2.800000e-07,1.587872e+00,1.557992e+00
2.840000e-07,-1.302026e+00,-1.290986e+00
2.880000e-07,-3.697231e-01,-4.553185e-01
2.920000e-07,1.734163e+00,1.686985e+00
2.960000e-07,-9.834187e-01,-9.677313e-01
3.000000e-07,-7.883074e-01,-8.672489e-01
3.040000e-07,1.746934e+00,1.687038e+00
3.080000e-07,-6.308642e-01,-6.082544e-01
3.120000e-07,-1.125734e+00,-1.192167e+00
3.160000e-07,1.676201e+00,1.604307e+00
3.200000e-07,-2.443110e-01,-2.271467e-01
3.240000e-07,-1.372989e+00,-1.429339e+00
3.280000e-07,1.519809e+00,1.443785e+00
3.320000e-07,1.279075e-01,1.448281e-01
3.360000e-07,-1.570050e+00,-1.608454e+00
3.400000e-07,1.298987e+00,1.216569e+00
3.440000e-07,5.798363e-01,5.823766e-01
3.480000e-07,-1.667078e+00,-1.697168e+00
3.520000e-07,9.437728e-01,8.508544e-01
3.560000e-07,9.867167e-01,9.802507e-01
3.600000e-07,-1.693905e+00,-1.704090e+00
3.640000e-07,4.711860e-01,3.787450e-01
3.680000e-07,1.338316e+00,1.319715e+00
3.720000e-07,-1.531312e+00,-1.531832e+00
3.760000e-07,2.582236e-02,-6.580502e-02
3.800000e-07,1.586578e+00,1.555508e+00
3.840000e-07,-1.291371e+00,-1.280853e+00
3.880000e-07,-4.320126e-01,-5.203162e-01
3.920000e-07,1.726069e+00,1.677218e+00
3.960000e-07,-9.499131e-01,-9.338529e-01
4.000000e-07,-8.040851e-01,-8.820271e-01
4.040000e-07,1.748853e+00,1.690687e+00
4.080000e-07,-6.254110e-01,-6.081449e-01
4.120000e-07,-1.104772e+00,-1.173580e+00
4.160000e-07,1.692105e+00,1.624190e+00
4.200000e-07,-3.044594e-01,-2.844859e-01
4.240000e-07,-1.345433e+00,-1.399557e+00
4.280000e-07,1.565915e+00,1.486662e+00
4.320000e-07,6.416977e-02,8.005655e-02
4.360000e-07,-1.549700e+00,-1.591330e+00
4.400000e-07,1.328964e+00,1.243257e+00
4.440000e-07,5.223259e-01,5.306954e-01
4.480000e-07,-1.676950e+00,-1.709246e+00
4.520000e-07,9.504077e-01,8.582862e-01
4.560000e-07,1.003550e+00,1.002002e+00
4.600000e-07,-1.671807e+00,-1.683599e+00
4.640000e-07,4.543087e-01,3.654587e-01
4.680000e-07,1.348171e+00,1.332807e+00
4.720000e-07,-1.523038e+00,-1.521130e+00
4.760000e-07,1.815585e-02,-7.222504e-02
4.800000e-07,1.593817e+00,1.560890e+00
4.840000e-07,-1.307117e+00,-1.296431e+00
4.880000e-07,-4.174019e-01,-5.050614e-01
4.920000e-07,1.692898e+00,1.652412e+00
4.960000e-07,-1.017801e+00,-9.959748e-01
5.000000e-07,-7.265452e-01,-8.070660e-01
5.040000e-07,1.766517e+00,1.711483e+00
5.080000e-07,-6.851650e-01,-6.659131e-01
5.120000e-07,-1.105568e+00,-1.171012e+00
5.160000e-07,1.686908e+00,1.623399e+00
5.200000e-07,-2.305211e-01,-2.094587e-01
5.240000e-07,-1.378761e+00,-1.424025e+00
5.280000e-07,1.512820e+00,1.437478e+00
5.320000e-07,2.349941e-01,2.494040e-01
5.360000e-07,-1.631885e+00,-1.668784e+00
5.400000e-07,1.183813e+00,1.096792e+00
5.440000e-07,6.644983e-01,6.734797e-01
5.480000e-07,-1.679509e+00,-1.698902e+00
5.520000e-07,8.840810e-01,7.989903e-01
5.560000e-07,9.777674e-01,9.746035e-01
5.600000e-07,-1.678278e+00,-1.695801e+00
5.640000e-07,5.591346e-01,4.633026e-01
5.680000e-07,1.276958e+00,1.263408e+00
5.720000e-07,-1.568624e+00,-1.570039e+00
5.760000e-07,1.739578e-01,7.908886e-02
5.800000e-07,1.519746e+00,1.493839e+00
5.840000e-07,-1.395111e+00,-1.385053e+00
5.880000e-07,-2.806591e-01,-3.705945e-01
5.920000e-07,1.694603e+00,1.652779e+00
5.960000e-07,-1.096812e+00,-1.081291e+00
6.000000e-07,-6.927866e-01,-7.738199e-01
6.040000e-07,1.733665e+00,1.683093e+00
6.080000e-07,-7.660236e-01,-7.383043e-01
6.120000e-07,-1.045371e+00,-1.112285e+00
6.160000e-07,1.719354e+00,1.650376e+00
6.200000e-07,-3.023064e-01,-2.801854e-01
6.240000e-07,-1.353340e+00,-1.405575e+00
6.280000e-07,1.534584e+00,1.454669e+00
6.320000e-07,1.693540e-01,1.828655e-01
6.360000e-07,-1.580962e+00,-1.621426e+00
6.400000e-07,1.259554e+00,1.172328e+00
6.440000e-07,6.281339e-01,6.386108e-01
6.480000e-07,-1.680168e+00,-1.704485e+00
6.520000e-07,8.959923e-01,8.045836e-01
6.560000e-07,9.666426e-01,9.673027e-01
6.600000e-07,-1.684587e+00,-1.698796e+00
6.640000e-07,5.225398e-01,4.286891e-01
6.680000e-07,1.322989e+00,1.309907e+00
6.720000e-07,-1.553222e+00,-1.557192e+00
6.760000e-07,5.893250e-02,-3.466143e-02
6.800000e-07,1.569768e+00,1.544054e+00
6.840000e-07,-1.305298e+00,-1.291530e+00
6.880000e-07,-3.753606e-01,-4.614671e-01
6.920000e-07,1.739833e+00,1.697420e+00
6.960000e-07,-9.739703e-01,-9.517741e-01
7.000000e-07,-7.999628e-01,-8.734352e-01
7.040000e-07,1.744337e+00,1.687904e+00
7.080000e-07,-6.242297e-01,-6.054921e-01
7.120000e-07,-1.116952e+00,-1.181392e+00
7.160000e-07,1.683570e+00,1.620978e+00
7.200000e-07,-2.694015e-01,-2.454858e-01
7.240000e-07,-1.369799e+00,-1.424473e+00
7.280000e-07,1.550204e+00,1.472165e+00
7.320000e-07,1.042947e-01,1.234526e-01
7.360000e-07,-1.535058e+00,-1.575277e+00
7.400000e-07,1.346898e+00,1.261735e+00
7.440000e-07,4.646113e-01,4.733192e-01
7.480000e-07,-1.661697e+00,-1.693054e+00
7.520000e-07,1.045493e+00,9.557897e-01
7.560000e-07,8.799350e-01,8.800579e-01
7.600000e-07,-1.695414e+00,-1.714951e+00
7.640000e-07,5.935085e-01,4.988585e-01
7.680000e-07,1.272144e+00,1.259067e+00
7.720000e-07,-1.582303e+00,-1.581786e+00
7.760000e-07,9.395923e-02,6.887372e-03
7.800000e-07,1.567738e+00,1.538851e+00
7.840000e-07,-1.326618e+00,-1.320971e+00
7.880000e-07,-3.434382e-01,-4.317565e-01
7.920000e-07,1.700033e+00,1.657635e+00
7.960000e-07,-1.047259e+00,-1.026895e+00
8.000000e-07,-7.331431e-01,-8.071386e-01
8.040000e-07,1.745178e+00,1.691324e+00
8.080000e-07,-6.829785e-01,-6.635806e-01
8.120000e-07,-1.095113e+00,-1.161396e+00
8.160000e-07,1.682042e+00,1.613329e+00
8.200000e-07,-2.456715e-01,-2.284298e-01
8.240000e-07,-1.400810e+00,-1.449719e+00
8.280000e-07,1.511629e+00,1.429417e+00
8.320000e-07,2.170224e-01,2.264450e-01
8.360000e-07,-1.605445e+00,-1.639497e+00
8.400000e-07,1.226985e+00,1.136468e+00
8.440000e-07,6.286097e-01,6.303328e-01
8.480000e-07,-1.682609e+00,-1.703155e+00
8.520000e-07,8.977886e-01,8.052019e-01
8.560000e-07,1.023440e+00,1.017975e+00
8.600000e-07,-1.680527e+00,-1.684655e+00
8.640000e-07,4.386838e-01,3.509678e-01
8.680000e-07,1.337115e+00,1.323730e+00
8.720000e-07,-1.528353e+00,-1.522473e+00
8.760000e-07,2.159531e-02,-7.020077e-02
8.800000e-07,1.614031e+00,1.581111e+00
8.840000e-07,-1.283463e+00,-1.269914e+00
8.880000e-07,-4.304040e-01,-5.188799e-01
8.920000e-07,1.717503e+00,1.666300e+00
8.960000e-07,-9.886768e-01,-9.677390e-01
9.000000e-07,-7.644656e-01,-8.377894e-01
9.040000e-07,1.770502e+00,1.713632e+00
9.080000e-07,-6.609438e-01,-6.364252e-01
9.120000e-07,-1.099612e+00,-1.164677e+00
9.160000e-07,1.688190e+00,1.620025e+00
9.200000e-07,-2.880017e-01,-2.671254e-01
9.240000e-07,-1.366192e+00,-1.422450e+00
9.280000e-07,1.535931e+00,1.455772e+00
9.320000e-07,1.426482e-01,1.601127e-01
9.360000e-07,-1.587213e+00,-1.626149e+00
9.400000e-07,1.259617e+00,1.169321e+00
9.440000e-07,6.081312e-01,6.150532e-01
9.480000e-07,-1.685159e+00,-1.707612e+00
9.520000e-07,8.936691e-01,7.996717e-01
9.560000e-07,1.039601e+00,1.035846e+00
9.600000e-07,-1.659318e+00,-1.665094e+00
9.640000e-07,4.423458e-01,3.490948e-01
9.680000e-07,1.374342e+00,1.356215e+00
9.720000e-07,-1.514690e+00,-1.509060e+00
9.760000e-07,-2.459679e-02,-1.138217e-01
9.800000e-07,1.617658e+00,1.589945e+00
9.840000e-07,-1.252375e+00,-1.240071e+00
9.880000e-07,-4.216723e-01,-5.106100e-01
9.920000e-07,1.730946e+00,1.687991e+00
9.960000e-07,-9.852228e-01,-9.685379e-01
1.000000e-06,-7.769413e-01,-8.549462e-01
1.004000e-06,1.756400e+00,1.700014e+00
1.008000e-06,-6.522560e-01,-6.321121e-01
1.012000e-06,-1.102481e+00,-1.163884e+00
1.016000e-06,1.686744e+00,1.616961e+00
1.020000e-06,-2.354740e-01,-2.222032e-01
1.024000e-06,-1.418774e+00,-1.471195e+00
1.028000e-06,1.480735e+00,1.399856e+00
1.032000e-06,2.538014e-01,2.667600e-01
1.036000e-06,-1.618942e+00,-1.653860e+00
1.040000e-06,1.179084e+00,1.090386e+00
1.044000e-06,7.042558e-01,7.121286e-01
1.048000e-06,-1.702228e+00,-1.718544e+00
1.052000e-06,8.099274e-01,7.183190e-01
1.056000e-06,1.053639e+00,1.051518e+00
1.060000e-06,-1.669069e+00,-1.675872e+00
1.064000e-06,4.483372e-01,3.505998e-01
1.068000e-06,1.349599e+00,1.336354e+00
1.072000e-06,-1.544620e+00,-1.537702e+00
1.076000e-06,6.168000e-02,-3.118672e-02
1.080000e-06,1.562162e+00,1.535076e+00
1.084000e-06,-1.341861e+00,-1.333172e+00
1.088000e-06,-3.115594e-01,-3.974569e-01
1.092000e-06,1.686534e+00,1.653251e+00
1.096000e-06,-1.082320e+00,-1.066328e+00
1.100000e-06,-6.710133e-01,-7.492266e-01
1.104000e-06,1.760504e+00,1.710668e+00
1.108000e-06,-7.238520e-01,-7.007462e-01
1.112000e-06,-1.065577e+00,-1.127983e+00
1.116000e-06,1.691035e+00,1.623759e+00
1.120000e-06,-2.776006e-01,-2.585095e-01
1.124000e-06,-1.381698e+00,-1.432997e+00
1.128000e-06,1.539879e+00,1.460747e+00
1.132000e-06,2.120202e-01,2.273860e-01
1.136000e-06,-1.588839e+00,-1.626063e+00
1.140000e-06,1.245760e+00,1.160884e+00
1.144000e-06,5.602957e-01,5.712149e-01
1.148000e-06,-1.670049e+00,-1.697886e+00
1.152000e-06,9.773925e-01,8.823885e-01
1.156000e-06,9.401178e-01,9.405912e-01
1.160000e-06,-1.689818e+00,-1.701570e+00
1.164000e-06,5.266050e-01,4.350842e-01
1.168000e-06,1.282396e+00,1.273188e+00
1.172000e-06,-1.568926e+00,-1.564501e+00
1.176000e-06,6.056953e-02,-2.831980e-02
1.180000e-06,1.580628e+00,1.554871e+00
1.184000e-06,-1.304483e+00,-1.294829e+00
1.188000e-06,-3.374283e-01,-4.278821e-01
1.192000e-06,1.717445e+00,1.676629e+00
1.196000e-06,-1.038771e+00,-1.022559e+00
1.200000e-06,-7.210310e-01,-8.002992e-01
1.204000e-06,1.756361e+00,1.706304e+00
1.208000e-06,-6.680638e-01,-6.451668e-01
1.212000e-06,-1.098881e+00,-1.162862e+00
1.216000e-06,1.680655e+00,1.613727e+00
1.220000e-06,-2.123056e-01,-1.934899e-01
1.224000e-06,-1.437551e+00,-1.488189e+00
1.228000e-06,1.472983e+00,1.393198e+00
1.232000e-06,2.431059e-01,2.553275e-01
1.236000e-06,-1.596269e+00,-1.634875e+00
1.240000e-06,1.235113e+00,1.148725e+00
1.244000e-06,6.120995e-01,6.184329e-01
1.248000e-06,-1.674798e+00,-1.698121e+00
1.252000e-06,9.374709e-01,8.472887e-01
1.256000e-06,9.852305e-01,9.815923e-01
1.260000e-06,-1.678463e+00,-1.689584e+00
1.264000e-06,5.137268e-01,4.211976e-01
1.268000e-06,1.315414e+00,1.303369e+00
1.272000e-06,-1.540579e+00,-1.537369e+00
1.276000e-06,1.205060e-01,3.010501e-02
1.280000e-06,1.539828e+00,1.513342e+00
1.284000e-06,-1.383335e+00,-1.372378e+00
1.288000e-06,-2.975055e-01,-3.821343e-01
1.292000e-06,1.674924e+00,1.633583e+00
1.296000e-06,-1.100914e+00,-1.083434e+00
1.300000e-06,-6.735218e-01,-7.497241e-01
1.304000e-06,1.757630e+00,1.699906e+00
1.308000e-06,-7.181326e-01,-6.961382e-01
1.312000e-06,-1.108141e+00,-1.172381e+00
1.316000e-06,1.676079e+00,1.605503e+00
1.320000e-06,-2.284515e-01,-2.072626e-01
1.324000e-06,-1.412430e+00,-1.462779e+00
1.328000e-06,1.492304e+00,1.413833e+00
1.332000e-06,2.737739e-01,2.887410e-01
1.336000e-06,-1.618106e+00,-1.655576e+00
1.340000e-06,1.168988e+00,1.075872e+00
1.344000e-06,7.222273e-01,7.249202e-01
1.348000e-06,-1.694255e+00,-1.709357e+00
1.352000e-06,8.027992e-01,7.094446e-01
1.356000e-06,1.098262e+00,1.094154e+00
1.360000e-06,-1.656964e+00,-1.658450e+00
1.364000e-06,4.256374e-01,3.316905e-01
1.368000e-06,1.337779e+00,1.322251e+00
1.372000e-06,-1.551511e+00,-1.550833e+00
1.376000e-06,7.955355e-02,-1.043938e-02
1.380000e-06,1.563678e+00,1.535663e+00
1.384000e-06,-1.338343e+00,-1.335445e+00
1.388000e-06,-3.262399e-01,-4.125488e-01
1.392000e-06,1.711187e+00,1.668084e+00
1.396000e-06,-1.028385e+00,-1.012799e+00
1.400000e-06,-7.297103e-01,-8.046917e-01
1.404000e-06,1.752808e+00,1.699861e+00
1.408000e-06,-6.821819e-01,-6.573450e-01
1.412000e-06,-1.088589e+00,-1.157750e+00
1.416000e-06,1.686523e+00,1.615143e+00
1.420000e-06,-3.072641e-01,-2.853293e-01
1.424000e-06,-1.365175e+00,-1.416747e+00
1.428000e-06,1.542514e+00,1.464048e+00
1.432000e-06,1.353875e-01,1.477198e-01
1.436000e-06,-1.578560e+00,-1.621454e+00
1.440000e-06,1.267713e+00,1.177649e+00
1.444000e-06,6.307267e-01,6.372547e-01
1.448000e-06,-1.681669e+00,-1.703398e+00
1.452000e-06,8.763997e-01,7.831172e-01
1.456000e-06,1.073347e+00,1.067749e+00
1.460000e-06,-1.652799e+00,-1.659669e+00
1.464000e-06,4.397240e-01,3.506773e-01
1.468000e-06,1.354637e+00,1.344389e+00
1.472000e-06,-1.547208e+00,-1.543200e+00
1.476000e-06,3.833028e-02,-5.355933e-02
1.480000e-06,1.559124e+00,1.532136e+00
1.484000e-06,-1.339455e+00,-1.332340e+00
1.488000e-06,-3.413112e-01,-4.301134e-01
1.492000e-06,1.693884e+00,1.653396e+00
1.496000e-06,-1.051147e+00,-1.033267e+00
1.500000e-06,-7.348948e-01,-8.096544e-01
1.504000e-06,1.764885e+00,1.705772e+00
1.508000e-06,-6.427429e-01,-6.273443e-01
1.512000e-06,-1.113680e+00,-1.179226e+00
1.516000e-06,1.675789e+00,1.606526e+00
1.520000e-06,-2.149840e-01,-1.910589e-01
1.524000e-06,-1.420298e+00,-1.465779e+00
1.528000e-06,1.481609e+00,1.401065e+00
1.532000e-06,2.330052e-01,2.493120e-01
1.536000e-06,-1.627025e+00,-1.657939e+00
1.540000e-06,1.183571e+00,1.095414e+00
1.544000e-06,6.678402e-01,6.719312e-01
1.548000e-06,-1.693338e+00,-1.714986e+00
1.552000e-06,8.490487e-01,7.558936e-01
1.556000e-06,1.069990e+00,1.063763e+00
1.560000e-06,-1.666039e+00,-1.672563e+00
1.564000e-06,4.359808e-01,3.465688e-01
1.568000e-06,1.345241e+00,1.327250e+00
1.572000e-06,-1.534254e+00,-1.532513e+00
1.576000e-06,8.414208e-02,-4.765181e-03
1.580000e-06,1.565893e+00,1.536356e+00
1.584000e-06,-1.355008e+00,-1.341010e+00
1.588000e-06,-3.324284e-01,-4.138604e-01
1.592000e-06,1.695773e+00,1.652596e+00
1.596000e-06,-1.060837e+00,-1.044116e+00
1.600000e-06,-7.042261e-01,-7.809717e-01
1.604000e-06,1.764944e+00,1.704914e+00
1.608000e-06,-6.954365e-01,-6.787497e-01
1.612000e-06,-1.057532e+00,-1.119672e+00
1.616000e-06,1.696120e+00,1.628368e+00
